"File","Pattern","Replacement"
"C:\active_projects\mbu\website_build\mbu-website\books.html","src=""assets/img/","src=""https://mbu-assets.vercel.app/img/"
"C:\active_projects\mbu\website_build\mbu-website\books.html","assets/img/([A-Za-z0-9_\-\/]+)/images\.json","https://mbu-assets.vercel.app/img/$1/images.json"
"C:\active_projects\mbu\website_build\mbu-website\books.html","src=""assets/js/site\.js""","src=""js/site.js"""
"C:\active_projects\mbu\website_build\mbu-website\books.html","href=""assets/css/style\.css""","href=""css/style.css"""
"C:\active_projects\mbu\website_build\mbu-website\books.html","src=""assets/js/carousel\.js""","src=""js/carousel.js"""
"C:\active_projects\mbu\website_build\mbu-website\carousel.html","src=""assets/img/","src=""https://mbu-assets.vercel.app/img/"
"C:\active_projects\mbu\website_build\mbu-website\carousel.html","assets/img/([A-Za-z0-9_\-\/]+)/images\.json","https://mbu-assets.vercel.app/img/$1/images.json"
"C:\active_projects\mbu\website_build\mbu-website\carousel.html","src=""assets/js/site\.js""","src=""js/site.js"""
"C:\active_projects\mbu\website_build\mbu-website\carousel.html","href=""assets/css/style\.css""","href=""css/style.css"""
"C:\active_projects\mbu\website_build\mbu-website\carousel.html","src=""assets/js/carousel\.js""","src=""js/carousel.js"""
"C:\active_projects\mbu\website_build\mbu-website\cartwheels.html","src=""assets/img/","src=""https://mbu-assets.vercel.app/img/"
"C:\active_projects\mbu\website_build\mbu-website\cartwheels.html","assets/img/([A-Za-z0-9_\-\/]+)/images\.json","https://mbu-assets.vercel.app/img/$1/images.json"
"C:\active_projects\mbu\website_build\mbu-website\cartwheels.html","src=""assets/js/site\.js""","src=""js/site.js"""
"C:\active_projects\mbu\website_build\mbu-website\cartwheels.html","href=""assets/css/style\.css""","href=""css/style.css"""
"C:\active_projects\mbu\website_build\mbu-website\cartwheels.html","src=""assets/js/carousel\.js""","src=""js/carousel.js"""
"C:\active_projects\mbu\website_build\mbu-website\clothing.html","src=""assets/img/","src=""https://mbu-assets.vercel.app/img/"
"C:\active_projects\mbu\website_build\mbu-website\clothing.html","assets/img/([A-Za-z0-9_\-\/]+)/images\.json","https://mbu-assets.vercel.app/img/$1/images.json"
"C:\active_projects\mbu\website_build\mbu-website\clothing.html","src=""assets/js/site\.js""","src=""js/site.js"""
"C:\active_projects\mbu\website_build\mbu-website\clothing.html","href=""assets/css/style\.css""","href=""css/style.css"""
"C:\active_projects\mbu\website_build\mbu-website\clothing.html","src=""assets/js/carousel\.js""","src=""js/carousel.js"""
"C:\active_projects\mbu\website_build\mbu-website\fbttd-v1.html","src=""assets/img/","src=""https://mbu-assets.vercel.app/img/"
"C:\active_projects\mbu\website_build\mbu-website\fbttd-v1.html","src=""assets/js/site\.js""","src=""js/site.js"""
"C:\active_projects\mbu\website_build\mbu-website\fbttd-v1.html","href=""assets/css/style\.css""","href=""css/style.css"""
"C:\active_projects\mbu\website_build\mbu-website\fbttd-v2.html","src=""assets/img/","src=""https://mbu-assets.vercel.app/img/"
"C:\active_projects\mbu\website_build\mbu-website\fbttd-v2.html","assets/img/([A-Za-z0-9_\-\/]+)/images\.json","https://mbu-assets.vercel.app/img/$1/images.json"
"C:\active_projects\mbu\website_build\mbu-website\fbttd-v2.html","src=""assets/js/site\.js""","src=""js/site.js"""
"C:\active_projects\mbu\website_build\mbu-website\fbttd-v2.html","href=""assets/css/style\.css""","href=""css/style.css"""
"C:\active_projects\mbu\website_build\mbu-website\fbttd-v2.html","src=""assets/js/carousel\.js""","src=""js/carousel.js"""
"C:\active_projects\mbu\website_build\mbu-website\fbttd-v3.html","src=""assets/img/","src=""https://mbu-assets.vercel.app/img/"
"C:\active_projects\mbu\website_build\mbu-website\fbttd-v3.html","assets/img/([A-Za-z0-9_\-\/]+)/images\.json","https://mbu-assets.vercel.app/img/$1/images.json"
