action,file,cdn_url,status,notes
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\fblogo.png,https://mbu-assets.vercel.app/img/findbruno/fblogo.png,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\story\Magnificent Michigan Epoxy Table 004.png,https://mbu-assets.vercel.app/img/story/Magnificent Michigan Epoxy Table 004.png,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Logo 1 no background TM use as main.png,https://mbu-assets.vercel.app/img/woodworking/Logo 1 no background TM use as main.png,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 004.png,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 004.png,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 038.PNG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 038.PNG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\books\MBU Book Cover.jpg,https://mbu-assets.vercel.app/img/books/MBU Book Cover.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\books\MBU Book002.jpg,https://mbu-assets.vercel.app/img/books/MBU Book002.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\books\MBU Book003.jpg,https://mbu-assets.vercel.app/img/books/MBU Book003.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\books\MBU Book004.jpg,https://mbu-assets.vercel.app/img/books/MBU Book004.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\books\MBU Book005.jpg,https://mbu-assets.vercel.app/img/books/MBU Book005.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\books\MBU Book006.jpg,https://mbu-assets.vercel.app/img/books/MBU Book006.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\1st EXP.jpg,https://mbu-assets.vercel.app/img/clothing/1st EXP.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 1.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 1.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 10.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 10.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\dog 1c.JPG,https://mbu-assets.vercel.app/img/clothing/dog 1c.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 2.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 2.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 3.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 3.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 4.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 4.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 4a.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 4a.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 5.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 5.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 6.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 6.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 7.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 7.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 8.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 8.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 9..JPG,https://mbu-assets.vercel.app/img/clothing/Dog 9..JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\Dog 9a.JPG,https://mbu-assets.vercel.app/img/clothing/Dog 9a.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\FBTTD a.JPG,https://mbu-assets.vercel.app/img/clothing/FBTTD a.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\FBTTD b.JPG,https://mbu-assets.vercel.app/img/clothing/FBTTD b.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\FBTTD c.JPG,https://mbu-assets.vercel.app/img/clothing/FBTTD c.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\FBTTD d.JPG,https://mbu-assets.vercel.app/img/clothing/FBTTD d.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\FBTTD e.JPG,https://mbu-assets.vercel.app/img/clothing/FBTTD e.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\FBTTD f.JPG,https://mbu-assets.vercel.app/img/clothing/FBTTD f.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\IBIW a.JPG,https://mbu-assets.vercel.app/img/clothing/IBIW a.JPG,deleted_from_code,CDN 200; removed from code repo
